chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
256MB,temporal,1.02 GB,cheyenne,2,global_mean,0.3440968990325928,2
256MB,temporal,1.02 GB,cheyenne,2,temporal_mean,0.3211698532104492,2
256MB,temporal,1.02 GB,cheyenne,2,climatology,0.5479345321655273,2
256MB,temporal,1.02 GB,cheyenne,2,anomaly,5.801811695098878,2
512MB,temporal,2.05 GB,cheyenne,2,global_mean,0.6539831161499023,2
512MB,temporal,2.05 GB,cheyenne,2,temporal_mean,0.6067383289337158,2
512MB,temporal,2.05 GB,cheyenne,2,climatology,0.9681918621063232,2
512MB,temporal,2.05 GB,cheyenne,2,anomaly,10.487205266952516,2
8MB,temporal,64.89 MB,cheyenne,4,global_mean,0.1366279125213623,2
8MB,temporal,64.89 MB,cheyenne,4,temporal_mean,0.06755852699279785,2
8MB,temporal,64.89 MB,cheyenne,4,climatology,0.13253021240234375,2
8MB,temporal,64.89 MB,cheyenne,4,anomaly,0.40832948684692383,2
16MB,temporal,128.78 MB,cheyenne,4,global_mean,0.08140969276428223,2
16MB,temporal,128.78 MB,cheyenne,4,temporal_mean,0.058643341064453125,2
16MB,temporal,128.78 MB,cheyenne,4,climatology,0.12992262840270996,2
16MB,temporal,128.78 MB,cheyenne,4,anomaly,0.5933403968811035,2
32MB,temporal,256.58 MB,cheyenne,4,global_mean,0.10437655448913574,2
32MB,temporal,256.58 MB,cheyenne,4,temporal_mean,0.0723123550415039,2
32MB,temporal,256.58 MB,cheyenne,4,climatology,0.16291451454162598,2
32MB,temporal,256.58 MB,cheyenne,4,anomaly,1.3023107051849363,2
64MB,temporal,512.17 MB,cheyenne,4,global_mean,0.13515615463256836,2
64MB,temporal,512.17 MB,cheyenne,4,temporal_mean,0.11426305770874025,2
64MB,temporal,512.17 MB,cheyenne,4,climatology,0.2086164951324463,2
64MB,temporal,512.17 MB,cheyenne,4,anomaly,2.0531966686248784,2
128MB,temporal,1.02 GB,cheyenne,4,global_mean,0.21917295455932614,2
128MB,temporal,1.02 GB,cheyenne,4,temporal_mean,0.1993041038513184,2
128MB,temporal,1.02 GB,cheyenne,4,climatology,0.3518991470336914,2
128MB,temporal,1.02 GB,cheyenne,4,anomaly,4.368115186691283,2
256MB,temporal,2.05 GB,cheyenne,4,global_mean,0.3593006134033203,2
256MB,temporal,2.05 GB,cheyenne,4,temporal_mean,0.3311045169830322,2
256MB,temporal,2.05 GB,cheyenne,4,climatology,0.5660099983215332,2
256MB,temporal,2.05 GB,cheyenne,4,anomaly,9.311370134353636,2
512MB,temporal,4.10 GB,cheyenne,4,global_mean,0.6871058940887451,2
512MB,temporal,4.10 GB,cheyenne,4,temporal_mean,0.6429264545440674,2
512MB,temporal,4.10 GB,cheyenne,4,climatology,1.0016257762908936,2
512MB,temporal,4.10 GB,cheyenne,4,anomaly,19.57539963722229,2
8MB,temporal,128.78 MB,cheyenne,8,global_mean,0.117387056350708,2
8MB,temporal,128.78 MB,cheyenne,8,temporal_mean,0.08331871032714844,2
8MB,temporal,128.78 MB,cheyenne,8,climatology,0.1384108066558838,2
8MB,temporal,128.78 MB,cheyenne,8,anomaly,0.6926381587982178,2
16MB,temporal,256.58 MB,cheyenne,8,global_mean,0.1169438362121582,2
16MB,temporal,256.58 MB,cheyenne,8,temporal_mean,0.09352421760559082,2
16MB,temporal,256.58 MB,cheyenne,8,climatology,0.17143988609313965,2
16MB,temporal,256.58 MB,cheyenne,8,anomaly,1.0414643287658691,2
32MB,temporal,512.17 MB,cheyenne,8,global_mean,0.1308901309967041,2
32MB,temporal,512.17 MB,cheyenne,8,temporal_mean,0.13419079780578613,2
32MB,temporal,512.17 MB,cheyenne,8,climatology,0.2384817600250244,2
32MB,temporal,512.17 MB,cheyenne,8,anomaly,2.0374021530151367,2
64MB,temporal,1.02 GB,cheyenne,8,global_mean,0.16913294792175293,2
64MB,temporal,1.02 GB,cheyenne,8,temporal_mean,0.14083194732666016,2
64MB,temporal,1.02 GB,cheyenne,8,climatology,0.26187896728515625,2
64MB,temporal,1.02 GB,cheyenne,8,anomaly,3.910211324691773,2
128MB,temporal,2.05 GB,cheyenne,8,global_mean,0.23737001419067386,2
128MB,temporal,2.05 GB,cheyenne,8,temporal_mean,0.23565435409545896,2
128MB,temporal,2.05 GB,cheyenne,8,climatology,0.4101731777191162,2
128MB,temporal,2.05 GB,cheyenne,8,anomaly,9.430772066116331,2
256MB,temporal,4.10 GB,cheyenne,8,global_mean,0.3676292896270752,2
256MB,temporal,4.10 GB,cheyenne,8,temporal_mean,0.35717010498046875,2
256MB,temporal,4.10 GB,cheyenne,8,climatology,0.6389803886413574,2
256MB,temporal,4.10 GB,cheyenne,8,anomaly,17.05073356628418,2
512MB,temporal,8.19 GB,cheyenne,8,global_mean,0.7115225791931152,2
512MB,temporal,8.19 GB,cheyenne,8,temporal_mean,0.6453185081481934,2
512MB,temporal,8.19 GB,cheyenne,8,climatology,1.0297484397888184,2
512MB,temporal,8.19 GB,cheyenne,8,anomaly,37.08733606338501,2
8MB,temporal,256.58 MB,cheyenne,16,global_mean,0.16179442405700686,2
8MB,temporal,256.58 MB,cheyenne,16,temporal_mean,0.13975119590759275,2
8MB,temporal,256.58 MB,cheyenne,16,climatology,0.2011699676513672,2
8MB,temporal,256.58 MB,cheyenne,16,anomaly,1.0187511444091797,2
16MB,temporal,512.17 MB,cheyenne,16,global_mean,0.13927125930786133,2
16MB,temporal,512.17 MB,cheyenne,16,temporal_mean,0.16048097610473633,2
16MB,temporal,512.17 MB,cheyenne,16,climatology,0.3351261615753174,2
16MB,temporal,512.17 MB,cheyenne,16,anomaly,1.8490469455718996,2
32MB,temporal,1.02 GB,cheyenne,16,global_mean,0.1743330955505371,2
32MB,temporal,1.02 GB,cheyenne,16,temporal_mean,0.16918468475341794,2
32MB,temporal,1.02 GB,cheyenne,16,climatology,0.2770731449127197,2
32MB,temporal,1.02 GB,cheyenne,16,anomaly,3.1755330562591557,2
64MB,temporal,2.05 GB,cheyenne,16,global_mean,0.28751087188720703,2
64MB,temporal,2.05 GB,cheyenne,16,temporal_mean,0.20123600959777832,2
64MB,temporal,2.05 GB,cheyenne,16,climatology,0.3265490531921387,2
64MB,temporal,2.05 GB,cheyenne,16,anomaly,6.645482063293457,2
128MB,temporal,4.10 GB,cheyenne,16,global_mean,0.3409543037414551,2
128MB,temporal,4.10 GB,cheyenne,16,temporal_mean,0.2603328227996826,2
128MB,temporal,4.10 GB,cheyenne,16,climatology,0.4427535533905029,2
128MB,temporal,4.10 GB,cheyenne,16,anomaly,15.856506586074829,2
256MB,temporal,8.19 GB,cheyenne,16,global_mean,0.4147462844848633,2
256MB,temporal,8.19 GB,cheyenne,16,temporal_mean,0.3853652477264404,2
256MB,temporal,8.19 GB,cheyenne,16,climatology,1.057525634765625,2
256MB,temporal,8.19 GB,cheyenne,16,anomaly,31.4948308467865,2
512MB,temporal,16.38 GB,cheyenne,16,global_mean,0.7087807655334473,2
512MB,temporal,16.38 GB,cheyenne,16,temporal_mean,0.6569380760192871,2
512MB,temporal,16.38 GB,cheyenne,16,climatology,1.059112310409546,2
512MB,temporal,16.38 GB,cheyenne,16,anomaly,72.6868941783905,2
8MB,temporal,512.17 MB,cheyenne,32,global_mean,0.26712918281555176,2
8MB,temporal,512.17 MB,cheyenne,32,temporal_mean,0.6589136123657227,2
8MB,temporal,512.17 MB,cheyenne,32,climatology,0.3796515464782715,2
8MB,temporal,512.17 MB,cheyenne,32,anomaly,2.2059459686279297,2
16MB,temporal,1.02 GB,cheyenne,32,global_mean,0.4465339183807373,2
16MB,temporal,1.02 GB,cheyenne,32,temporal_mean,0.290743350982666,2
16MB,temporal,1.02 GB,cheyenne,32,climatology,0.4304258823394776,2
16MB,temporal,1.02 GB,cheyenne,32,anomaly,4.365112066268922,2
32MB,temporal,2.05 GB,cheyenne,32,global_mean,0.2618958950042725,2
32MB,temporal,2.05 GB,cheyenne,32,temporal_mean,0.3478569984436035,2
32MB,temporal,2.05 GB,cheyenne,32,climatology,0.4539225101470947,2
32MB,temporal,2.05 GB,cheyenne,32,anomaly,6.730035066604613,2
64MB,temporal,4.10 GB,cheyenne,32,global_mean,0.2741029262542725,2
64MB,temporal,4.10 GB,cheyenne,32,temporal_mean,0.5309102535247803,2
64MB,temporal,4.10 GB,cheyenne,32,climatology,0.5016677379608154,2
64MB,temporal,4.10 GB,cheyenne,32,anomaly,13.36326813697815,2
128MB,temporal,8.19 GB,cheyenne,32,global_mean,0.3684027194976807,2
128MB,temporal,8.19 GB,cheyenne,32,temporal_mean,0.3966255187988281,2
128MB,temporal,8.19 GB,cheyenne,32,climatology,0.9339101314544678,2
